Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
Indiranagar 100 Feet Road 214,12.901237,77.639994,3,32,Residential,Moderate,Moderate,Low,3.2,Moderate,Mall,4.6,Rare,Assault
Bannerghatta Road 215,12.869652,77.649853,1,6,Commercial,High,Good,Low,1.7,High,None,1.4,Occasional,Assault
Koramangala 1st Block 216,12.930274,77.509702,5,10,Commercial,Low,Moderate,Low,1.6,High,None,6.4,Frequent,Harassment
Jayanagar 4th Block 217,12.857429,77.659607,4,28,Commercial,High,Poor,Low,4.7,High,None,3.6,Occasional,Vandalism
Commercial Street 218,12.898841,77.52339,4,9,Residential,Low,Good,Medium,2.1,Low,None,4.0,Frequent,Theft
Indiranagar 100 Feet Road 219,12.956594,77.661152,2,50,Residential,High,Good,Medium,3.4,Moderate,None,7.7,Rare,Robbery
HSR Layout 220,12.876058,77.623983,5,18,Mixed-use,Moderate,Moderate,Medium,4.0,High,Mall,8.8,Rare,Robbery
Indiranagar 100 Feet Road 221,12.961527,77.520641,1,36,Mixed-use,Low,Moderate,Medium,4.3,High,Market,8.1,Frequent,Harassment
Bannerghatta Road 222,12.976501,77.576834,2,36,Commercial,Low,Moderate,Medium,3.7,High,Market,8.5,Frequent,Assault
Indiranagar 100 Feet Road 223,12.943458,77.588976,3,2,Industrial,Moderate,Poor,High,0.9,Moderate,Playground,5.6,Rare,Harassment
Jayanagar 4th Block 224,12.994918,77.521369,2,29,Mixed-use,Moderate,Moderate,Medium,4.8,Moderate,Park,7.5,Frequent,Robbery
Brigade Road 225,12.886386,77.646086,4,23,Commercial,High,Good,Low,3.7,Low,Mall,4.4,Rare,Assault
Indiranagar 100 Feet Road 226,12.87965,77.667805,3,39,Industrial,Low,Poor,Medium,1.3,High,Park,9.6,Occasional,Robbery
Whitefield Main Road 227,12.886525,77.513113,4,39,Residential,Low,Moderate,Low,2.6,Moderate,Playground,9.9,Frequent,Theft
HSR Layout 228,12.866112,77.559566,1,24,Industrial,Low,Moderate,Medium,2.4,High,Market,2.3,Rare,Harassment
Koramangala 1st Block 229,12.944634,77.527038,2,41,Commercial,Low,Moderate,High,3.2,Low,Park,1.5,Frequent,Vandalism
Commercial Street 230,12.960813,77.610951,1,15,Residential,High,Moderate,Low,0.6,Moderate,Park,4.8,Rare,Harassment
BTM Layout 231,12.886239,77.643272,5,9,Residential,Low,Good,Low,3.4,Moderate,Market,4.5,Frequent,Harassment
BTM Layout 232,12.865994,77.528923,3,16,Residential,Low,Moderate,Medium,3.6,Low,Park,8.7,Frequent,Harassment
MG Road 233,12.953963,77.681841,2,20,Mixed-use,Moderate,Good,High,4.2,Low,None,6.3,Rare,Harassment
Indiranagar 100 Feet Road 234,12.861549,77.575666,3,44,Industrial,Low,Poor,Medium,1.6,High,None,1.2,Occasional,Harassment
Koramangala 1st Block 235,12.904983,77.543362,5,19,Commercial,High,Good,Low,4.5,High,Mall,5.1,Occasional,Robbery
MG Road 236,12.941737,77.592192,3,1,Commercial,Low,Moderate,High,4.2,Low,Playground,8.6,Frequent,Assault
Bannerghatta Road 237,12.992005,77.68408,1,33,Residential,Low,Good,Medium,4.5,Moderate,Playground,4.0,Frequent,Theft
Brigade Road 238,12.948983,77.586898,4,24,Commercial,Low,Moderate,High,3.1,High,Playground,3.4,Occasional,Theft
Bannerghatta Road 239,12.903315,77.55781,5,12,Industrial,Low,Good,Low,4.1,Low,Mall,6.5,Occasional,Vandalism
Church Street 240,12.860723,77.657418,4,3,Industrial,High,Good,Medium,1.9,Moderate,None,4.6,Rare,Robbery
Koramangala 1st Block 241,12.898736,77.641247,3,10,Commercial,High,Good,Low,4.1,Moderate,Park,5.4,Frequent,Robbery
Indiranagar 100 Feet Road 242,12.868383,77.654517,5,34,Residential,Low,Poor,Low,2.6,High,Market,2.8,Rare,Harassment
Jayanagar 4th Block 243,12.873492,77.603317,1,10,Residential,Moderate,Good,High,4.7,High,Park,5.0,Rare,Theft
HSR Layout 244,12.983113,77.692585,2,30,Residential,Low,Moderate,High,2.5,High,Mall,6.5,Rare,Theft
Jayanagar 4th Block 245,12.883685,77.63115,2,47,Commercial,Moderate,Moderate,Medium,3.6,High,Mall,8.3,Rare,Robbery
Commercial Street 246,12.860555,77.604924,2,34,Commercial,Moderate,Good,High,4.6,High,Market,8.8,Rare,Assault
Bannerghatta Road 247,12.981879,77.620479,5,40,Industrial,High,Poor,High,4.1,Moderate,None,6.7,Occasional,Theft
Indiranagar 100 Feet Road 248,12.960821,77.506985,3,42,Residential,Moderate,Good,Medium,1.1,Low,Playground,3.7,Frequent,Harassment
Commercial Street 249,12.971193,77.696651,4,41,Commercial,Low,Moderate,Low,3.0,High,Park,1.7,Occasional,Harassment
HSR Layout 250,12.974301,77.519857,1,42,Industrial,High,Poor,Medium,2.3,Moderate,Market,6.3,Frequent,Assault
Jayanagar 4th Block 251,12.86778,77.59548,2,3,Residential,High,Good,Medium,3.1,High,Market,7.8,Frequent,Theft
Bannerghatta Road 252,12.907541,77.675754,5,15,Industrial,High,Moderate,High,3.6,High,Market,9.2,Rare,Theft
Brigade Road 253,12.909215,77.616897,4,18,Residential,Low,Good,Medium,2.8,High,Mall,7.1,Frequent,Robbery
Indiranagar 100 Feet Road 254,12.981969,77.68106,3,30,Mixed-use,Low,Moderate,High,4.2,Moderate,None,9.9,Frequent,Theft
Brigade Road 255,12.908614,77.619743,2,18,Residential,High,Moderate,High,1.8,Low,None,7.6,Rare,Harassment
MG Road 256,12.993348,77.573084,4,4,Industrial,Low,Good,High,2.5,Moderate,Mall,3.2,Frequent,Assault
HSR Layout 257,12.959817,77.64241,2,2,Industrial,Low,Moderate,Low,3.4,High,None,4.0,Frequent,Robbery
Brigade Road 258,12.902314,77.518445,5,39,Industrial,Moderate,Poor,Low,2.0,Moderate,Playground,3.2,Rare,Theft
HSR Layout 259,12.867437,77.586093,4,35,Mixed-use,Moderate,Moderate,High,0.7,Low,Mall,7.8,Occasional,Theft
MG Road 260,12.920528,77.51782,5,9,Residential,High,Good,High,3.8,High,Mall,6.5,Occasional,Assault
BTM Layout 261,12.902264,77.625204,3,8,Commercial,High,Moderate,Low,3.4,Moderate,Park,5.2,Occasional,Assault
Brigade Road 262,12.983287,77.658859,5,15,Industrial,Low,Poor,Low,1.9,Low,Market,8.3,Occasional,Vandalism
Koramangala 1st Block 263,12.98876,77.5445,1,32,Mixed-use,High,Good,Medium,4.1,High,Park,3.4,Occasional,Theft
Brigade Road 264,12.933065,77.649379,1,45,Residential,High,Good,Medium,2.9,High,Market,9.4,Occasional,Theft
Bannerghatta Road 265,12.863286,77.659045,2,23,Mixed-use,Moderate,Moderate,Low,3.7,Moderate,Mall,7.3,Rare,Assault
Bannerghatta Road 266,12.965089,77.696481,2,0,Residential,High,Good,Medium,4.3,Low,Playground,1.4,Occasional,Vandalism
Whitefield Main Road 267,12.991472,77.603896,5,25,Industrial,Moderate,Moderate,High,3.7,Moderate,Mall,2.6,Frequent,Assault
Commercial Street 268,12.993026,77.651144,4,43,Residential,Moderate,Moderate,Low,3.2,High,None,7.6,Occasional,Robbery
Church Street 269,12.885668,77.679523,2,25,Mixed-use,Moderate,Poor,Medium,1.7,Moderate,None,6.8,Frequent,Vandalism
MG Road 270,12.873153,77.556071,4,4,Mixed-use,Low,Poor,Medium,2.4,Low,Playground,2.7,Frequent,Harassment
Bannerghatta Road 271,12.862168,77.648593,2,21,Commercial,High,Good,Medium,4.7,Moderate,Playground,2.7,Rare,Robbery
Commercial Street 272,12.850155,77.575368,2,31,Industrial,Low,Good,Low,4.6,Low,Market,9.3,Frequent,Robbery
Brigade Road 273,12.903488,77.566744,5,19,Residential,Low,Moderate,High,1.5,High,Playground,6.8,Rare,Harassment
Commercial Street 274,12.973571,77.517604,5,4,Industrial,Low,Moderate,Medium,2.1,High,None,2.2,Rare,Robbery
BTM Layout 275,12.945924,77.651782,1,47,Commercial,High,Good,Low,2.7,High,None,7.8,Rare,Assault
MG Road 276,12.893172,77.596326,1,11,Industrial,Low,Good,Medium,2.3,Moderate,None,6.3,Rare,Vandalism
Indiranagar 100 Feet Road 277,12.888233,77.53178,5,23,Mixed-use,Moderate,Moderate,Medium,3.6,Moderate,Park,4.7,Frequent,Harassment
Brigade Road 278,12.952017,77.520702,2,44,Mixed-use,High,Moderate,Low,2.6,Moderate,Market,4.4,Occasional,Theft
BTM Layout 279,12.978006,77.641707,2,46,Commercial,Low,Moderate,High,4.7,Moderate,Playground,7.8,Rare,Vandalism
Church Street 280,12.950771,77.606273,2,20,Commercial,Low,Poor,Medium,4.8,High,None,7.2,Rare,Robbery
Brigade Road 281,12.979225,77.527841,5,7,Commercial,Low,Good,Medium,1.3,Low,Playground,6.8,Rare,Assault
Indiranagar 100 Feet Road 282,12.900334,77.543567,1,28,Commercial,High,Poor,Low,2.6,High,None,5.3,Occasional,Theft
BTM Layout 283,12.934981,77.595859,3,34,Mixed-use,High,Moderate,Low,3.8,High,Park,6.4,Frequent,Robbery
Bannerghatta Road 284,12.857749,77.651477,2,23,Commercial,Moderate,Poor,High,1.6,High,Playground,5.5,Frequent,Assault
Whitefield Main Road 285,12.898093,77.674422,5,22,Residential,High,Moderate,Medium,1.3,Low,Playground,6.9,Occasional,Theft
Church Street 286,12.971305,77.576839,4,14,Residential,Low,Good,High,1.4,Moderate,Playground,4.4,Occasional,Harassment
Jayanagar 4th Block 287,12.980208,77.636222,4,20,Industrial,High,Moderate,High,2.2,Low,Mall,1.6,Rare,Robbery
Bannerghatta Road 288,12.986617,77.657619,3,8,Mixed-use,Low,Moderate,High,4.0,High,Market,3.0,Rare,Theft
Church Street 289,12.963085,77.558585,4,20,Industrial,Low,Poor,High,1.0,Moderate,None,6.5,Frequent,Theft
Indiranagar 100 Feet Road 290,12.979171,77.66439,2,3,Commercial,High,Poor,Medium,4.1,Low,Market,9.1,Occasional,Robbery
BTM Layout 291,12.972231,77.69599,2,18,Residential,Low,Moderate,Medium,3.7,Moderate,Park,1.3,Occasional,Assault
Koramangala 1st Block 292,12.890831,77.683476,4,26,Mixed-use,High,Good,High,4.2,Low,None,8.2,Occasional,Assault
HSR Layout 293,12.969205,77.514107,1,50,Residential,Moderate,Good,High,3.0,Low,None,1.7,Occasional,Robbery
BTM Layout 294,12.91051,77.653368,3,40,Industrial,High,Moderate,Medium,2.2,Moderate,Park,7.3,Occasional,Theft
Whitefield Main Road 295,12.875743,77.634199,2,8,Commercial,Low,Good,Medium,3.4,Moderate,Playground,1.4,Frequent,Assault
Whitefield Main Road 296,12.947729,77.666061,2,10,Mixed-use,Moderate,Good,Medium,4.6,Low,Mall,2.7,Rare,Harassment
BTM Layout 297,12.852868,77.545262,4,38,Mixed-use,Low,Good,High,1.8,High,Playground,2.9,Occasional,Theft
MG Road 298,12.900136,77.586167,2,31,Mixed-use,Low,Poor,Low,1.6,High,Mall,2.0,Rare,Theft
Bannerghatta Road 299,12.871187,77.581214,3,24,Residential,High,Moderate,High,1.4,High,Mall,5.0,Rare,Assault
Koramangala 1st Block 300,12.896874,77.683803,2,2,Commercial,Moderate,Moderate,High,4.8,Moderate,Park,6.0,Frequent,Theft
Bannerghatta Road 301,12.885492,77.627704,2,22,Commercial,Low,Good,Low,4.6,Moderate,Park,8.3,Occasional,Harassment
Bannerghatta Road 302,12.899638,77.519919,3,6,Mixed-use,Moderate,Moderate,High,0.9,Moderate,Market,9.5,Occasional,Assault
BTM Layout 303,12.903043,77.551734,4,6,Mixed-use,Low,Poor,Low,2.2,High,Market,4.5,Rare,Robbery
BTM Layout 304,12.888443,77.655867,1,38,Mixed-use,Low,Poor,High,0.6,Low,Park,6.1,Frequent,Vandalism
HSR Layout 305,12.871843,77.689248,2,49,Residential,Moderate,Good,Medium,3.0,Moderate,Playground,9.2,Rare,Harassment
Indiranagar 100 Feet Road 306,12.935286,77.639155,4,9,Mixed-use,Low,Moderate,Low,3.7,High,Market,3.0,Occasional,Theft
Brigade Road 307,12.876104,77.68648,4,22,Residential,Moderate,Good,Low,3.5,High,None,8.0,Frequent,Assault
Commercial Street 308,12.916454,77.578834,2,6,Residential,Moderate,Poor,High,3.9,Moderate,Mall,4.9,Occasional,Harassment
Whitefield Main Road 309,12.936284,77.501855,2,21,Commercial,Low,Good,Medium,4.0,Low,Playground,9.1,Rare,Theft
BTM Layout 310,12.93748,77.528133,3,31,Commercial,High,Moderate,High,1.8,Low,Mall,1.9,Frequent,Vandalism
Koramangala 1st Block 311,12.881715,77.54695,1,8,Mixed-use,Low,Poor,Low,1.3,Low,Park,7.6,Occasional,Robbery
Jayanagar 4th Block 312,12.903106,77.583897,2,37,Residential,Low,Good,Medium,3.4,Low,None,2.7,Rare,Theft
Whitefield Main Road 313,12.893695,77.636371,3,11,Mixed-use,Low,Good,Medium,0.7,Moderate,Park,7.0,Frequent,Vandalism
Commercial Street 314,12.89615,77.520484,5,0,Mixed-use,High,Good,High,3.6,Low,Market,2.2,Frequent,Assault
MG Road 315,12.874758,77.684458,5,0,Commercial,High,Poor,Low,4.0,Low,None,6.6,Rare,Harassment
MG Road 316,12.927764,77.544505,4,10,Industrial,Moderate,Moderate,Medium,4.5,Moderate,Park,7.4,Rare,Assault
HSR Layout 317,12.903029,77.616006,5,5,Mixed-use,Low,Poor,Low,4.1,High,Market,7.5,Rare,Assault
Jayanagar 4th Block 318,12.969225,77.533758,3,7,Residential,Moderate,Good,High,2.9,Moderate,None,6.6,Occasional,Harassment
Indiranagar 100 Feet Road 319,12.891784,77.623716,3,19,Residential,Low,Good,High,4.6,Low,Market,9.8,Frequent,Harassment
Koramangala 1st Block 320,12.901439,77.521467,3,19,Residential,Low,Good,Low,1.8,High,Mall,8.6,Rare,Vandalism
HSR Layout 321,12.996712,77.686469,2,34,Commercial,High,Moderate,Low,2.3,Moderate,Park,2.7,Occasional,Vandalism
Brigade Road 322,12.912239,77.51762,5,10,Residential,Low,Moderate,Medium,2.9,Low,Market,1.3,Frequent,Robbery
Jayanagar 4th Block 323,12.861677,77.511436,4,22,Residential,High,Good,Low,3.2,Moderate,Playground,6.3,Frequent,Robbery
Church Street 324,12.925174,77.519015,3,24,Residential,High,Good,Medium,2.2,High,None,6.3,Frequent,Robbery
Bannerghatta Road 325,12.877994,77.512292,5,7,Commercial,High,Poor,Medium,3.1,Moderate,None,2.6,Frequent,Assault
Brigade Road 326,12.908039,77.591994,3,27,Mixed-use,Moderate,Poor,Low,1.7,High,Playground,2.6,Frequent,Theft
HSR Layout 327,12.990234,77.530959,4,19,Residential,Low,Moderate,Low,4.3,High,Mall,5.2,Frequent,Harassment
Jayanagar 4th Block 328,12.853101,77.671191,5,47,Mixed-use,Moderate,Good,High,2.9,High,Mall,3.7,Occasional,Harassment
BTM Layout 329,12.952583,77.636428,5,32,Commercial,Low,Moderate,Medium,4.9,Moderate,None,3.2,Occasional,Assault
Jayanagar 4th Block 330,12.931443,77.512297,5,49,Industrial,High,Poor,High,0.6,Moderate,None,7.1,Occasional,Assault
Koramangala 1st Block 331,12.981777,77.650439,1,35,Residential,High,Good,Medium,2.2,High,Market,9.8,Rare,Theft
Koramangala 1st Block 332,12.955759,77.64122,5,24,Commercial,Moderate,Good,Medium,3.2,Moderate,Park,6.4,Occasional,Theft
MG Road 333,12.886526,77.629845,5,32,Residential,Moderate,Moderate,Low,4.5,Low,None,8.3,Occasional,Theft
Koramangala 1st Block 334,12.905454,77.678483,5,25,Industrial,Moderate,Moderate,Medium,4.0,Low,Playground,5.3,Occasional,Assault
Jayanagar 4th Block 335,12.857263,77.549186,3,30,Residential,Moderate,Moderate,High,3.6,Low,None,8.1,Frequent,Vandalism
Koramangala 1st Block 336,12.854599,77.52433,5,23,Residential,Low,Good,Medium,2.3,High,Playground,4.6,Frequent,Vandalism
Bannerghatta Road 337,12.93217,77.521392,1,42,Commercial,High,Moderate,Medium,4.2,High,Mall,4.8,Frequent,Harassment
HSR Layout 338,12.867439,77.572004,3,24,Industrial,Low,Good,Low,0.5,Moderate,Park,8.1,Frequent,Vandalism
HSR Layout 339,12.922865,77.68883,5,22,Commercial,High,Moderate,High,1.0,Low,None,3.2,Frequent,Robbery
Koramangala 1st Block 340,12.980669,77.503729,4,34,Commercial,Moderate,Moderate,High,4.8,Moderate,Park,1.1,Frequent,Vandalism
HSR Layout 341,12.91161,77.688522,3,1,Commercial,High,Good,Low,2.0,Moderate,Park,6.7,Frequent,Assault
Church Street 342,12.942117,77.582651,5,8,Residential,Moderate,Moderate,Low,2.4,High,Market,7.8,Rare,Vandalism
HSR Layout 343,12.944142,77.610478,2,11,Commercial,Moderate,Good,High,1.9,Low,Playground,3.7,Occasional,Theft
Whitefield Main Road 344,12.899819,77.575388,2,26,Commercial,Moderate,Poor,Medium,2.2,Moderate,Playground,8.2,Occasional,Assault
Koramangala 1st Block 345,12.948925,77.698547,3,31,Commercial,High,Good,Medium,3.9,Low,Mall,6.4,Frequent,Vandalism
Koramangala 1st Block 346,12.916769,77.624791,4,25,Commercial,Low,Moderate,Medium,2.5,High,Mall,2.2,Occasional,Vandalism
Indiranagar 100 Feet Road 347,12.9896,77.507884,5,16,Residential,High,Good,Medium,0.9,Moderate,Park,7.5,Occasional,Harassment
Bannerghatta Road 348,12.908363,77.599703,1,36,Mixed-use,Moderate,Poor,High,4.6,Low,Market,5.0,Rare,Theft
MG Road 349,12.910884,77.609064,5,28,Mixed-use,Low,Moderate,Low,4.0,Low,None,4.6,Frequent,Vandalism
Church Street 350,12.974363,77.601679,3,22,Mixed-use,High,Good,High,3.2,Low,Park,3.9,Occasional,Theft
HSR Layout 351,12.8772,77.68308,4,48,Residential,Low,Poor,Medium,4.0,Low,Park,1.9,Rare,Assault
BTM Layout 352,12.873372,77.690887,3,41,Residential,High,Moderate,High,0.7,High,None,8.5,Occasional,Theft
HSR Layout 353,12.959016,77.579213,3,34,Commercial,Low,Good,Low,1.2,High,Market,4.8,Occasional,Theft
BTM Layout 354,12.88049,77.526268,3,22,Residential,Moderate,Moderate,Low,4.3,Low,None,4.5,Rare,Assault
Whitefield Main Road 355,12.946963,77.66181,1,45,Residential,High,Good,Low,1.4,Low,Market,8.5,Frequent,Theft
Bannerghatta Road 356,12.859794,77.630554,3,9,Mixed-use,Low,Poor,High,3.6,High,Park,1.1,Rare,Robbery
HSR Layout 357,12.935518,77.500029,2,35,Residential,Moderate,Good,Low,2.0,Low,Mall,9.1,Occasional,Vandalism
Koramangala 1st Block 358,12.900777,77.540476,4,29,Residential,High,Poor,Low,3.9,High,Park,9.1,Rare,Harassment
Church Street 359,12.939058,77.668979,4,37,Residential,High,Good,Low,4.2,Moderate,Mall,4.1,Frequent,Assault
HSR Layout 360,12.863476,77.654156,5,49,Residential,Low,Moderate,Medium,4.4,Low,None,4.6,Frequent,Theft
Whitefield Main Road 361,12.950777,77.645997,5,45,Residential,High,Poor,High,2.1,High,Market,4.2,Frequent,Vandalism
Jayanagar 4th Block 362,12.864078,77.616219,2,11,Commercial,Moderate,Good,Low,1.1,Low,None,6.3,Rare,Harassment
Jayanagar 4th Block 363,12.956217,77.672071,1,24,Industrial,Low,Moderate,High,3.1,Moderate,Market,9.8,Frequent,Harassment
Koramangala 1st Block 364,12.953196,77.626305,2,6,Residential,Moderate,Moderate,Low,2.4,High,Playground,4.0,Rare,Vandalism
Indiranagar 100 Feet Road 365,12.96133,77.551791,5,46,Commercial,High,Poor,High,2.6,Low,Mall,3.1,Rare,Vandalism
Koramangala 1st Block 366,12.9091,77.575382,1,33,Commercial,High,Good,Medium,4.4,Moderate,Playground,3.7,Occasional,Vandalism
MG Road 367,12.986729,77.567224,4,9,Mixed-use,High,Moderate,Medium,1.9,High,Playground,2.9,Rare,Robbery
HSR Layout 368,12.852002,77.518664,1,32,Mixed-use,Low,Poor,Medium,0.6,Low,Mall,3.0,Rare,Vandalism
Bannerghatta Road 369,12.941414,77.600156,1,13,Residential,Moderate,Moderate,Low,0.8,Low,Playground,5.0,Occasional,Theft
Jayanagar 4th Block 370,12.859432,77.602918,2,21,Commercial,High,Poor,Low,2.7,Low,Playground,8.6,Occasional,Assault
BTM Layout 371,12.893045,77.646602,5,42,Mixed-use,Low,Moderate,Medium,1.0,Low,None,6.4,Rare,Harassment
Koramangala 1st Block 372,12.972019,77.563336,5,21,Mixed-use,High,Poor,Medium,1.9,High,None,3.9,Frequent,Harassment
Jayanagar 4th Block 373,12.923546,77.532839,1,16,Residential,Low,Moderate,High,1.4,Moderate,Playground,7.2,Frequent,Theft
Church Street 374,12.918915,77.667278,3,9,Mixed-use,High,Good,Low,4.9,Low,Mall,2.5,Occasional,Harassment
Church Street 375,12.864293,77.582983,4,25,Mixed-use,Low,Moderate,High,2.8,Moderate,Park,5.1,Frequent,Vandalism
Indiranagar 100 Feet Road 376,12.915894,77.545982,2,45,Industrial,Moderate,Poor,Low,3.5,High,None,8.3,Frequent,Harassment
Commercial Street 377,12.947852,77.632976,1,4,Industrial,High,Moderate,Medium,1.6,High,Mall,8.4,Frequent,Harassment
Commercial Street 378,12.902087,77.619119,3,28,Industrial,High,Moderate,Medium,2.8,High,Park,8.8,Frequent,Harassment
HSR Layout 379,12.906349,77.67593,3,46,Residential,High,Moderate,Low,1.9,Moderate,Playground,3.2,Occasional,Harassment
Jayanagar 4th Block 380,12.858019,77.579994,5,30,Industrial,High,Moderate,High,0.7,Low,Park,8.6,Rare,Harassment
Bannerghatta Road 381,12.948321,77.542002,3,7,Industrial,Moderate,Poor,Medium,3.3,Moderate,Market,5.8,Occasional,Assault
Whitefield Main Road 382,12.95183,77.536377,1,15,Residential,High,Good,Medium,3.3,High,Market,5.2,Frequent,Assault
BTM Layout 383,12.965975,77.698202,4,13,Industrial,Moderate,Poor,High,2.2,Moderate,Market,4.5,Rare,Harassment
Church Street 384,12.935217,77.62048,1,18,Commercial,High,Good,High,1.2,Moderate,Park,3.5,Rare,Theft
MG Road 385,12.98663,77.50405,5,37,Residential,Moderate,Good,High,0.7,Moderate,Park,2.6,Frequent,Harassment
Whitefield Main Road 386,12.938756,77.571779,1,30,Industrial,High,Poor,High,4.6,Low,None,5.5,Frequent,Vandalism
Jayanagar 4th Block 387,12.893376,77.587716,4,4,Mixed-use,High,Poor,Low,3.0,Low,None,8.3,Rare,Vandalism
Jayanagar 4th Block 388,12.981016,77.698188,2,2,Residential,High,Moderate,Medium,4.8,Low,Playground,6.0,Occasional,Assault
Indiranagar 100 Feet Road 389,12.979509,77.60971,1,12,Residential,High,Moderate,Medium,2.4,Low,Market,8.6,Occasional,Vandalism
HSR Layout 390,12.901413,77.624571,5,6,Commercial,High,Good,Medium,3.2,High,None,9.9,Rare,Harassment
Church Street 391,12.951475,77.626598,1,42,Industrial,High,Moderate,Low,4.6,Low,Playground,5.6,Occasional,Vandalism
Commercial Street 392,12.951782,77.561098,4,46,Mixed-use,Low,Poor,Medium,1.5,Moderate,Playground,7.6,Rare,Theft
HSR Layout 393,12.9333,77.567833,1,28,Commercial,Moderate,Good,Medium,1.2,Moderate,None,4.0,Occasional,Harassment
MG Road 394,12.908054,77.68799,5,6,Industrial,Moderate,Good,High,3.6,Low,Park,7.1,Frequent,Vandalism
BTM Layout 395,12.872473,77.593627,1,34,Residential,Moderate,Poor,Medium,4.5,Low,None,6.3,Occasional,Vandalism
Jayanagar 4th Block 396,12.910436,77.558327,1,8,Residential,High,Good,High,2.9,Low,Market,7.3,Occasional,Vandalism
Bannerghatta Road 397,12.94203,77.526225,3,16,Industrial,Low,Poor,Medium,1.9,High,None,8.8,Occasional,Theft
Whitefield Main Road 398,12.853324,77.526617,4,11,Industrial,Moderate,Moderate,High,1.5,Moderate,Mall,8.2,Rare,Theft
Commercial Street 399,12.868769,77.602469,3,18,Mixed-use,High,Poor,Low,1.0,Low,Park,3.9,Frequent,Harassment
Indiranagar 100 Feet Road 400,12.969699,77.669186,4,47,Residential,Low,Moderate,High,1.9,Low,Park,3.7,Frequent,Vandalism
